species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	68.02721088435374	491	0.17829439977271622	20.132663828149056
OTU-10434	Streptococcus mitis	6675	8	50.0	7	0.10486891385767791	11.841597893210075
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	4	0.06257166257166258	7.065472888265289
OTU-10107	Lactobacillus iners	449724	299	55.51839464882943	268	0.058860545579066274	6.6464206301230435
OTU-02547	Corynebacterium sp.	669408	300	71.66666666666667	416	0.05599425163726755	6.322764180809684
OTU-20779	Haemophilus influenzae	87726	104	37.5	47	0.05354170941340081	6.045827786955512
OTU-11960	Agathobacter sp.	2001	3	33.333333333333336	1	0.04997501249375312	5.643083168214267
OTU-02557	Corynebacterium sp.	423588	300	43.333333333333336	211	0.044463015949460324	5.020679023217966
OTU-02443	Rothia dentocariosa	515946	296	46.62162162162162	204	0.03637977617812717	4.107934993309978
OTU-14187	Veillonella parvula	3204	4	25.0	1	0.031210986267166042	3.524285087264903
OTU-05035	Prevotella histicola	613761	300	44.0	176	0.027802353033183926	3.139388718670605
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	1	0.020794343938448742	2.3480576875851007
OTU-05704	Parabacteroides distasonis	353586	283	22.261484098939928	74	0.02045329849032484	2.30954748554874
OTU-05050	Prevotella pallens	409326	300	23.0	83	0.019927881444130106	2.250218394034356
OTU-10109	Lactobacillus jensenii	140880	179	15.083798882681565	28	0.019427881885292448	2.193759396751583
OTU-10006	Dolosigranulum pigrum	549030	300	28.0	108	0.0191738156384897	2.1650707203630946
OTU-01664	Actinomyces oris	9714	12	16.666666666666668	2	0.018118179946469012	2.0458703498548774
OTU-13420	Subdoligranulum sp.	153624	163	15.950920245398773	28	0.016820288496589075	1.8993149208611937
OTU-05577	Alistipes putredinis	143196	138	15.942028985507246	24	0.016306321405625854	1.8412787364701813
OTU-08937	Campylobacter concisus	84822	65	16.923076923076923	12	0.013887906439367145	1.5681959275052428
OTU-02442	Rothia aeria	532503	299	17.391304347826086	56	0.009391496385935854	1.060469873548193
OTU-02517	Corynebacterium sp.	678519	299	17.05685618729097	55	0.007333619250161012	0.8280983092870416
