tool_name,reads_name,precision,recall,f1_score
igg,reads_rl-25_c-4,0.617647059,0.954545455,0.75
igg,reads_rl-25_c-5,0.628571429,1,0.771929825
igg,reads_rl-25_c-6,0.628571429,1,0.771929825
igg,reads_rl-25_c-7,0.594594595,1,0.745762712
igg,reads_rl-50_c-4,0.772727273,0.772727273,0.772727273
igg,reads_rl-50_c-5,0.769230769,0.909090909,0.833333333
igg,reads_rl-50_c-6,0.769230769,0.909090909,0.833333333
igg,reads_rl-50_c-7,0.769230769,0.909090909,0.833333333
igg,reads_rl-75_c-4,0.894736842,0.772727273,0.829268293
igg,reads_rl-75_c-5,0.894736842,0.772727273,0.829268293
igg,reads_rl-75_c-6,0.894736842,0.772727273,0.829268293
igg,reads_rl-75_c-7,0.869565217,0.909090909,0.888888889
igg,reads_rl-100_c-4,1,0.636363636,0.777777778
igg,reads_rl-100_c-5,1,0.636363636,0.777777778
igg,reads_rl-100_c-6,1,0.636363636,0.777777778
igg,reads_rl-100_c-7,1,0.727272727,0.842105263
igg,reads_rl-125_c-4,1,0.590909091,0.742857143
igg,reads_rl-125_c-5,1,0.636363636,0.777777778
igg,reads_rl-125_c-6,1,0.636363636,0.777777778
igg,reads_rl-125_c-7,1,0.636363636,0.777777778
igg,reads_rl-150_c-4,1,0.590909091,0.742857143
igg,reads_rl-150_c-5,1,0.590909091,0.742857143
igg,reads_rl-150_c-6,1,0.636363636,0.777777778
igg,reads_rl-150_c-7,1,0.636363636,0.777777778
igg,reads_rl-175_c-4,1,0.545454545,0.705882353
igg,reads_rl-175_c-5,1,0.590909091,0.742857143
igg,reads_rl-175_c-6,1,0.590909091,0.742857143
igg,reads_rl-175_c-7,1,0.636363636,0.777777778
igg,reads_rl-200_c-4,1,0.545454545,0.705882353
igg,reads_rl-200_c-5,1,0.590909091,0.742857143
igg,reads_rl-200_c-6,1,0.590909091,0.742857143
igg,reads_rl-200_c-7,1,0.590909091,0.742857143
igg,reads_rl-225_c-4,1,0.545454545,0.705882353
igg,reads_rl-225_c-5,1,0.545454545,0.705882353
igg,reads_rl-225_c-6,1,0.590909091,0.742857143
igg,reads_rl-225_c-7,1,0.590909091,0.742857143
igg,reads_rl-250_c-4,1,0.545454545,0.705882353
igg,reads_rl-250_c-5,1,0.545454545,0.705882353
igg,reads_rl-250_c-6,1,0.590909091,0.742857143
igg,reads_rl-250_c-7,1,0.590909091,0.742857143
igg,reads_rl-275_c-4,1,0.5,0.666666667
igg,reads_rl-275_c-5,1,0.545454545,0.705882353
igg,reads_rl-275_c-6,1,0.545454545,0.705882353
igg,reads_rl-275_c-7,1,0.590909091,0.742857143
igg,reads_rl-300_c-4,1,0.5,0.666666667
igg,reads_rl-300_c-5,1,0.545454545,0.705882353
igg,reads_rl-300_c-6,1,0.545454545,0.705882353
igg,reads_rl-300_c-7,1,0.590909091,0.742857143
metaphlan,reads_rl-25_c-4,0.411764706,0.777777778,0.538461538
metaphlan,reads_rl-25_c-5,0.380952381,0.888888889,0.533333333
metaphlan,reads_rl-25_c-6,0.391304348,1,0.5625
metaphlan,reads_rl-25_c-7,0.333333333,0.888888889,0.484848485
metaphlan,reads_rl-50_c-4,0.7,0.777777778,0.736842105
metaphlan,reads_rl-50_c-5,0.7,0.777777778,0.736842105
metaphlan,reads_rl-50_c-6,0.636363636,0.777777778,0.7
metaphlan,reads_rl-50_c-7,0.636363636,0.777777778,0.7
metaphlan,reads_rl-75_c-4,0.875,0.777777778,0.823529412
metaphlan,reads_rl-75_c-5,0.875,0.777777778,0.823529412
metaphlan,reads_rl-75_c-6,0.727272727,0.888888889,0.8
metaphlan,reads_rl-75_c-7,0.727272727,0.888888889,0.8
metaphlan,reads_rl-100_c-4,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-5,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-100_c-7,1,0.666666667,0.8
metaphlan,reads_rl-125_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-125_c-5,1,0.555555556,0.714285714
metaphlan,reads_rl-125_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-125_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-150_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-150_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-150_c-6,1,0.555555556,0.714285714
metaphlan,reads_rl-150_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-175_c-4,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-175_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-200_c-4,1,0.333333333,0.5
metaphlan,reads_rl-200_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-200_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-200_c-7,1,0.555555556,0.714285714
metaphlan,reads_rl-225_c-4,1,0.333333333,0.5
metaphlan,reads_rl-225_c-5,1,0.444444444,0.615384615
metaphlan,reads_rl-225_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-225_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-250_c-4,1,0.333333333,0.5
metaphlan,reads_rl-250_c-5,1,0.333333333,0.5
metaphlan,reads_rl-250_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-250_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-275_c-4,1,0.333333333,0.5
metaphlan,reads_rl-275_c-5,1,0.333333333,0.5
metaphlan,reads_rl-275_c-6,1,0.444444444,0.615384615
metaphlan,reads_rl-275_c-7,1,0.444444444,0.615384615
metaphlan,reads_rl-300_c-4,1,0.333333333,0.5
metaphlan,reads_rl-300_c-5,1,0.333333333,0.5
metaphlan,reads_rl-300_c-6,1,0.333333333,0.5
metaphlan,reads_rl-300_c-7,1,0.444444444,0.615384615
