species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	67.00680272108843	4118	1.1510315617909064	23.303279757429948
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	39	0.47911547911547914	9.699961683562677
OTU-02547	Corynebacterium sp.	669408	300	70.0	3046	0.33654064486830154	6.813454172281474
OTU-10107	Lactobacillus iners	449724	299	49.49832775919732	1933	0.3220975531659418	6.521045677436531
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	5	0.3148614609571788	6.37454693084352
OTU-20779	Haemophilus influenzae	87726	104	32.69230769230769	339	0.2898228575336844	5.867626356567358
OTU-02443	Rothia dentocariosa	515946	296	44.25675675675676	1861	0.2670046865369632	5.405659682550071
OTU-10590	Streptococcus salivarius	11766	13	15.384615384615385	41	0.26134625191228966	5.291101498895461
OTU-14187	Veillonella parvula	3204	4	25.0	11	0.25749063670411987	5.213042405804055
OTU-02557	Corynebacterium sp.	423588	300	38.666666666666664	1455	0.2537371219203566	5.137050393088444
OTU-10434	Streptococcus mitis	6675	8	25.0	20	0.2247191011235955	4.549564281428993
OTU-10109	Lactobacillus jensenii	140880	179	17.318435754189945	284	0.14980124929017605	3.0328103382239124
OTU-05035	Prevotella histicola	613761	300	38.333333333333336	1109	0.13517639602385945	2.7367219785389074
OTU-05050	Prevotella pallens	409326	300	21.333333333333332	641	0.1174491725421791	2.3778243932517356
OTU-10006	Dolosigranulum pigrum	549030	300	23.666666666666668	833	0.11376609657031492	2.303258453802883
OTU-05704	Parabacteroides distasonis	353586	283	19.081272084805654	506	0.1073232537487344	2.1728194861078216
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	5	0.07797878976918278	1.578724349061059
OTU-02442	Rothia aeria	532503	299	16.722408026755854	364	0.05023821462038711	1.017100841258563
OTU-01664	Actinomyces oris	9714	12	25.0	4	0.029853819229977353	0.6044073198665963
